Blog	others	company	shows	done	took	play	behind	against	asked	site	several	thanks	finally	under	family	man	everyone	won	point	fun	media	possible	bit	google	start	trying	longer	instead	hard	set	less	game	night	often	line	team	giving	looks	someone	story	feel	number	bad	available	along	early	become	recently	important	far	told	information	short	internet	quite	place	isn	black	away	social	easy	power	anything	support	business	needs	coming	talk	including	season	released	future	please	probably	reading	com	second	almost	recent	photo	web	twitter	run	friends	house	four	music	tell	rather	personal	interesting	idea	space	reason	york	open	ways	pretty	seems	page	favorite	happy	true	problem	says	via	must	december	share	maybe	soon	announced	state	million	anyone	kind	seen	based	written	him	however	create	hand	whole	yes	book	five	deal	months	head	minutes	having	worth	public	makes	wanted	known	weeks	half	went	side	ask	care	service	fact	current	stuff	wrote	else	person	add	nothing	buy	came	facebook	order	following	takes	heard	american	project	america	hit	across	creating	taking	according	yesterday	popular	everything	aren	original	word	likely	above	experience	control	phone	meet	interview	earlier	wrong	group	special	running	system	self	able	report	nbsp	email	death	latest	couple	comments	step	call	single	school	level	large	wait	holiday	happen	features	city	john	talking	added	link	hope	goes	stop	art	decided	close	screen	attention	photos	morning	party	thinking	works	lead	whether	below	stories	fans	update	building	starting	entire	saw	version	ahead	links	process	write	data	paper	late	answer	front	gets	name	created	yourself	wasn	white	friend	amazon	ones	currently	article	similar	games	tuesday	wants	fast	hear	users	program	cool	learned	friday	completely	example	heart	third	pay	writing	turn	exactly	turned	seem	track	plan	planning	job	simple	mind	understand	government	lost	either	security	question	piece	sometimes	nice	children	hold	young	include	companies	red	november	women	pick	given	learn	tried	date	fan	move	perfect	couldn	view	believe	haven	gives	biggest	car	especially	mobile	face	national	launched	ready	questions	previous	save	although	posted	monday	problems	weekend	outside	enjoy	blue	hours	box	search	market	awesome	six	feature	law	style	food	term	series	books	leave	network	content	health	members	needed	wonderful	matter	store	note	points	release	movie	focus	main	guide	action	moment	user	opportunity	spent	rest	source	continue	christmas	image	mark	certain	digital	picture	age	woman	ten	sign	street	click	appears	brought	tools	taken	type	sort	provide	changes	remember	covered	happened	beyond	event	major	size	price	services	bring	success	etc	former	sound	itself	reports	moving	thousands	forward	form	chance	follow	device	choice	minute	turns	men	app	launch	movies	growing	history	beautiful	huge	amazing	product	playing	office	mean	expect	research	david	guess	knew	clear	later	cover	saying	copy	words	country	cut	smart	fight	north	complete	official	videos	interested	role	youtube	daily	per	design	access	hundreds	usually	themselves	science	goal	president	green	easily	university	published	apparently	sell	built	pages	local	paul	lots	terms	improve	among	simply	learning	addition	due	quickly	worked	myself	technology	center	immediately	readers	customers	whatever	press	amp	specific	dead	road	low	october	inside	sales	general	details	code	results	round	shared
Neil Gaiman's Journal	0	1	3	13	9	2	1	1	11	2	5	1	6	2	13	8	6	6	3	12	0	7	18	3	8	0	4	9	6	2	5	2	42	0	4	0	2	7	8	15	3	3	3	9	6	9	2	1	6	6	13	8	7	2	5	7	4	5	3	0	3	1	7	0	0	2	11	13	10	1	6	11	6	11	20	102	3	9	1	9	2	32	0	12	14	7	14	16	0	2	1	3	7	2	11	0	0	8	1	7	1	8	2	3	5	3	5	2	4	0	3	5	0	1	3	8	10	3	12	22	4	0	7	15	8	83	2	2	2	7	3	7	2	4	9	6	3	7	7	22	1	6	1	2	0	1	12	11	3	5	1	8	4	12	32	18	4	1	8	3	6	0	3	3	1	2	0	4	1	14	3	8	1	1	2	1	3	3	3	9	3	4	2	18	0	0	1	4	0	413	3	3	0	9	1	0	2	0	7	2	2	3	2	5	5	2	12	8	2	15	4	2	2	27	3	3	2	4	6	9	1	1	1	1	1	1	21	1	2	2	2	2	8	4	1	3	2	10	0	6	8	1	1	0	4	2	0	4	3	7	4	11	1	1	0	1	9	0	4	5	0	0	1	4	7	3	3	4	3	2	21	1	2	3	0	1	4	0	0	3	5	0	0	3	3	0	3	3	7	4	14	0	6	4	0	1	8	1	3	2	1	4	7	1	2	4	1	1	1	7	1	0	0	3	1	3	2	0	2	11	1	0	6	26	4	0	4	3	3	2	8	6	0	0	0	4	4	0	5	2	0	3	62	1	0	2	0	2	1	19	3	11	3	1	7	1	1	2	4	0	7	0	0	7	5	1	0	2	0	1	5	7	2	4	1	1	10	5	5	1	3	0	5	1	6	2	0	4	3	4	4	32	1	5	2	0	4	0	2	1	2	0	0	11	3	2	2	3	3	0	1	1	1	0	0	0	1	1	1	15	4	19	0	0	6	3	2	1	3	0	5	1	8	19	1	2	4	6	6	5	1	4	1	1	3	2	2	1	3	0	0	0	2	0	1	6	0	0	1	1	4	11	0	3	1	10	4	1	13	0	0	0	1	1	1	2	1	4	2	0	3	4	3	0	3	3	29	0	5	10	0	10	2	2	6	8	0	0	4	1
The Succulent Wife	1	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	1	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Web Science and Digital Libraries Research Group	10	5	5	12	3	5	8	3	18	18	8	3	4	5	0	3	10	5	18	1	15	6	12	17	5	5	11	12	3	29	6	1	3	4	9	17	4	1	3	8	0	10	1	36	11	8	3	3	10	6	2	60	12	65	3	8	2	4	7	36	8	6	1	24	8	6	3	21	17	4	4	16	5	4	7	56	23	4	7	2	187	13	4	3	3	6	6	2	10	4	8	5	5	2	5	13	1	2	5	85	1	0	2	20	0	15	5	0	6	2	7	4	29	1	2	1	3	33	6	1	9	24	7	4	2	9	6	3	3	1	2	9	4	15	4	4	4	0	4	10	7	5	4	14	0	29	3	3	3	2	6	2	0	3	7	8	22	2	3	1	34	2	2	4	9	1	2	0	5	2	3	22	1	4	11	5	11	1	6	0	10	1	28	6	9	32	9	18	18	865	3	2	2	5	3	5	0	15	12	10	15	1	0	3	10	8	3	1	5	55	4	2	3	6	1	9	11	1	3	2	5	6	10	2	1	14	10	3	3	6	1	6	2	39	1	21	11	0	140	71	1	6	2	4	2	35	2	1	7	1	2	3	10	8	2	1	1	0	4	0	28	6	0	5	1	0	38	3	8	1	3	1	1	3	2	1	5	1	2	8	4	3	2	6	8	2	14	0	2	4	3	2	3	9	4	7	9	51	1	18	2	2	17	1	2	2	3	8	5	1	3	1	0	2	24	1	16	0	4	16	2	1	5	9	1	7	3	2	2	2	8	2	12	1	0	0	5	3	5	0	5	5	4	2	7	66	2	4	6	1	0	12	9	4	5	0	7	7	3	1	1	48	4	3	15	12	4	0	19	0	0	103	4	4	2	1	1	0	11	4	2	23	4	41	3	13	11	0	1	1	5	8	3	4	0	13	2	2	15	5	1	2	1	1	2	9	13	2	8	3	2	6	1	6	2	0	1	0	10	1	1	7	6	0	3	6	1	37	8	4	5	2	8	0	6	10	5	1	0	2	1	4	6	0	3	5	5	2	0	5	6	33	0	2	5	17	10	7	5	4	45	3	2	1	4	33	8	4	3	4	4	5	4	4	3	9	3	5	0	15	7	2	1	0	4	4	22	8	1	0	5	3	2	0	3	8	7	14	1	4
Droid Life	0	0	0	0	0	12	0	1	0	5	0	2	2	2	0	0	0	0	0	0	0	1	2	22	2	0	1	1	1	1	0	5	0	0	1	0	0	1	0	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	3	2	0	1	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	9	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	1	9	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	8	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0
Online Marketing Report	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Kotaku	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	1	2	1	0	1	0	0	0	0	1	0	2	0	0	1	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	2	0	1	2	0	0	0	1	0	0	0	0	3	0	1	0	1	0	0	1	1	0	1	4	0	0	0	0	0	1	0	0	1	0	0	0	0	3	1	0	0	0	2	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
The Skinny Daily Post	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Business Insider	0	9	0	0	1	1	3	2	1	1	0	0	5	3	11	2	1	3	6	2	0	1	1	0	3	4	3	2	0	1	0	4	5	3	6	5	0	3	3	28	2	22	1	3	5	3	4	2	4	2	7	7	0	0	3	4	4	0	2	2	4	1	1	2	12	2	2	0	3	6	3	1	1	0	2	12	4	2	3	0	0	4	1	2	4	3	0	0	0	1	5	8	1	3	1	3	1	3	5	1	0	3	3	2	17	1	2	1	0	1	1	4	1	17	0	2	3	2	1	8	4	1	3	0	0	1	3	6	7	0	0	5	3	2	0	0	2	3	1	2	1	1	2	1	2	1	0	3	0	1	0	0	0	0	3	0	1	3	0	3	0	2	2	2	1	0	7	3	1	1	1	4	1	1	9	0	0	1	3	1	5	0	2	0	4	0	0	0	6	233	1	2	3	1	1	0	1	0	1	3	1	2	0	0	0	0	1	1	2	0	0	2	0	3	0	6	0	1	0	1	0	0	2	1	0	7	0	2	1	0	0	1	6	0	1	0	1	2	2	3	2	2	3	3	0	0	1	2	0	6	0	0	1	1	3	0	3	3	6	1	0	2	1	1	1	1	0	0	2	9	2	1	1	1	2	1	1	0	3	0	0	1	4	1	2	0	3	2	1	2	0	2	0	1	0	2	10	1	2	1	1	0	1	0	3	0	0	0	0	1	0	6	4	1	0	1	1	0	2	0	1	0	2	1	0	0	0	1	0	0	1	1	0	4	1	4	0	7	0	7	1	2	0	2	0	0	1	0	0	0	1	4	3	1	2	8	0	3	2	1	1	0	2	2	2	2	0	0	1	1	0	2	0	1	2	1	1	2	0	1	1	0	3	0	0	2	0	3	0	1	0	0	2	0	4	6	0	1	1	4	0	1	6	2	1	2	0	1	2	0	1	0	0	3	0	0	1	2	1	0	2	2	1	2	4	3	1	1	0	1	1	2	0	0	1	1	3	0	1	1	1	0	2	0	0	0	0	0	5	3	1	0	0	1	0	0	2	0	2	1	2	0	0	2	0	0	1	4	0	1	1	3	1	0	2	0	0	0	1	0	1	0	0	1	0	0	14	0	0	1	2	8	2	18	9	0	0	0	3	0
@ProBlogger	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	1	2	0	2	0	1	0	0	5	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	6	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	3	0	1	1	2	4	0	4	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	8	0	1	0	2	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	2	1	0	0	2	0	0	2	0	0	0	5	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
How to Change the World	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
43 Folders	4	2	0	10	2	6	2	4	1	2	2	12	6	20	4	7	8	10	21	3	2	5	7	2	11	10	1	4	16	3	16	2	5	19	3	2	3	3	7	6	7	9	6	5	1	4	12	1	13	7	6	6	3	3	5	7	0	1	7	1	5	7	14	3	8	4	1	22	8	0	1	8	16	8	13	17	8	13	2	2	10	4	6	5	2	5	0	17	8	4	2	6	1	5	1	4	5	11	2	4	10	6	9	15	13	1	1	0	4	14	5	0	0	0	14	9	1	2	16	12	1	0	3	4	13	25	4	2	4	1	7	11	5	1	5	5	2	1	9	2	4	9	27	3	9	1	27	2	7	8	1	7	5	1	1	8	2	4	2	2	3	1	3	0	0	1	0	1	2	12	4	2	3	4	1	4	3	1	2	9	2	6	0	5	4	4	9	1	0	1	11	4	0	7	0	4	3	6	0	3	3	1	1	3	2	0	15	4	0	2	20	10	11	3	18	2	1	9	0	7	0	5	0	2	14	0	2	1	3	3	5	1	1	3	1	2	2	3	3	4	5	2	3	13	3	0	15	2	0	5	1	2	1	4	1	0	0	3	2	8	5	0	3	3	2	1	0	4	2	3	4	5	8	3	4	0	2	0	19	7	7	14	0	1	7	0	3	0	15	15	1	1	2	1	2	4	1	0	2	3	11	2	1	2	1	2	6	4	9	3	0	0	3	8	1	5	0	0	8	0	0	2	5	15	1	3	0	5	5	1	4	0	0	1	19	4	1	1	1	1	1	0	1	5	4	1	2	0	3	4	8	0	4	5	0	1	3	0	1	1	0	0	3	2	0	1	4	0	0	3	1	0	1	0	2	2	0	1	2	0	1	5	0	6	1	1	4	6	2	2	2	4	4	0	5	3	0	5	0	0	1	6	0	0	2	1	1	3	0	1	0	3	3	2	8	0	1	2	0	2	7	1	4	1	0	7	2	0	4	4	2	7	5	3	11	1	1	0	1	4	1	2	0	0	0	1	1	0	4	0	10	0	1	3	1	0	3	0	1	0	0	1	2	1	2	1	0	0	2	3	0	2	11	6	1	2	2	5	8	3	0	3	2	3	13	0	11	2	1	2	1	3	2	0	0	1	1	2	1	1
Search Engine Watch - Latest	1	2	0	1	0	0	0	0	1	3	2	0	0	0	0	0	0	0	1	0	2	0	0	11	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	6	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	1
